registro_date_1;registro_time_1;registro_float_1;registro_float_2
2017-10-09;04:55:00;1.378.670.875;10.262.261.875
2017-10-09;05:00:00;1.363.728.625;10.053.593.125
2017-10-09;05:05:00;1330300.75;9.748.728.125
2017-10-09;05:10:00;1352368.75;1.004.822.875
2017-10-09;05:15:00;1350348.25;1.005.387.625
2017-10-09;05:20:00;1392435.25;10.419.264.375
2017-10-09;05:25:00;1.399.831.625;10.472.806.875
2017-10-09;05:30:00;1411413.5;1.058.436.125
2017-10-09;05:35:00;1402626.75;1046822.5
2017-10-09;05:40:00;1.419.661.125;1.052.321.625
2017-10-09;05:45:00;1.389.483.125;1.035.031.375
2017-10-09;05:50:00;1352183.25;9.827.295.625
2017-10-09;05:55:00;1514657.75;1094202
2017-10-09;06:00:00;1.533.284.625;1.094.817.625
2017-10-09;06:05:00;1558465.25;1.127.659.875
2017-10-09;06:10:00;1573124.25;1137785.5
2017-10-09;06:15:00;1561019;1.130.655.875
2017-10-09;06:20:00;1530882.5;1094752.75
2017-10-09;06:25:00;1.552.062.125;1.115.767.875
2017-10-09;06:30:00;1554619.5;1.119.586.125
2017-10-09;06:35:00;1.543.572.625;1107890.5
2017-10-09;06:40:00;1.536.532.375;1101396.5
2017-10-09;06:45:00;1529012.75;1.096.050.125
2017-10-09;06:50:00;1530042;1095451.5
2017-10-09;06:55:00;1531436;1.095.616.875
2017-10-09;07:00:00;1537737.75;1110892.25
2017-10-09;07:05:00;1.542.935.875;1.109.876.875
2017-10-09;07:10:00;1.782.602.625;1.263.154.875
2017-10-09;07:15:00;1780674.75;1.261.174.625
2017-10-09;07:20:00;1779498.5;1.251.174.125
2017-10-09;07:25:00;1.785.073.125;1266502.75
2017-10-09;07:30:00;1.776.295.375;1249429.25
2017-10-09;07:35:00;1.731.729.125;1.223.855.375
2017-10-09;07:40:00;1635250.75;1172200.25
2017-10-09;07:45:00;1.596.564.125;1143992
2017-10-09;07:50:00;1.509.567.125;1.082.118.875
2017-10-09;07:55:00;1292374.5;9.590.450.625
2017-10-09;08:00:00;1.499.321.375;1174082
2017-10-09;08:05:00;1654406.75;1235971.5
2017-10-09;08:10:00;1.949.816.625;1409485
2017-10-09;08:15:00;1.941.802.125;1408979
2017-10-09;08:20:00;1969214.75;1425232.5
2017-10-09;08:25:00;2041120.25;1484194.5
2017-10-09;08:30:00;1.918.368.875;1.397.739.125
2017-10-09;08:35:00;1798750.75;1.304.500.875
2017-10-09;08:40:00;1.816.881.375;1319917.25
2017-10-09;08:45:00;1.804.994.625;1.308.076.125
2017-10-09;08:50:00;1807792.75;1307471.5
2017-10-09;08:55:00;1.806.555.875;1.300.236.375
2017-10-09;09:00:00;1.819.331.625;1317975
2017-10-09;09:05:00;1.886.708.875;1365285.75
2017-10-09;09:10:00;1990497;1.429.570.875
2017-10-09;09:15:00;1.945.191.125;1395232.75
2017-10-09;09:20:00;1779464;1.278.205.125
2017-10-09;09:25:00;1842505.5;1327792.75
2017-10-09;09:30:00;1.851.585.875;1336551.5
2017-10-09;09:35:00;1851054.75;1.322.888.375
2017-10-09;09:40:00;2132946.75;1.515.365.375
2017-10-09;09:45:00;2236462.5;1.606.214.125
2017-10-09;09:50:00;2217595;1.598.624.125
2017-10-09;09:55:00;2078934.25;1519852
2017-10-09;10:00:00;2.093.236.625;1531147.5
2017-10-09;10:05:00;2101711;1539237.75
2017-10-09;10:10:00;2103445.25;1540752.25
2017-10-09;10:15:00;2124594.25;1.558.919.375
2017-10-09;10:20:00;2103323.25;1.544.723.375
2017-10-09;10:25:00;2096553.25;1.540.587.625
2017-10-09;10:30:00;1913187.25;1.405.016.375
2017-10-09;10:35:00;1.583.658.375;1180618.25
2017-10-09;10:40:00;1525700;1.138.643.125
2017-10-09;10:45:00;1.443.835.375;1083199.75
2017-10-09;10:50:00;1.433.765.125;1.071.381.875
2017-10-09;10:55:00;1424154;1064217.25
2017-10-09;11:00:00;1.393.655.375;10.349.950.625
2017-10-09;11:05:00;1385843.5;1.038.285.875
2017-10-09;11:10:00;1.345.313.875;1.003.233.625
2017-10-09;11:15:00;1398456.5;1.044.905.875
2017-10-09;11:20:00;1.385.423.625;10.379.751.875
2017-10-09;11:25:00;1.378.039.875;10.292.444.375
2017-10-09;11:30:00;1379374.75;1027692
2017-10-09;11:35:00;1.468.046.875;1.086.759.875
2017-10-09;11:40:00;1692708.5;1.222.022.125
2017-10-09;11:45:00;1688692;1214395.5
2017-10-09;11:50:00;1693645.25;1241802
2017-10-09;11:55:00;1542067;1127627
2017-10-09;12:00:00;1.531.183.125;1.119.708.625
2017-10-09;12:05:00;1536203.25;1.123.182.375
2017-10-09;12:10:00;1.531.880.875;1.118.127.375
2017-10-09;12:15:00;1551208;1148380
2017-10-09;12:20:00;1550618.75;1.154.006.375
2017-10-09;12:25:00;1554279;1.147.276.875
2017-10-09;12:30:00;1547201.5;1.143.017.125
2017-10-09;12:35:00;1609083.75;1.169.232.625
2017-10-09;12:40:00;1674907.75;1203416.75
2017-10-09;12:45:00;1673078;1.191.884.875
2017-10-09;12:50:00;1695917.75;1218880
2017-10-09;12:55:00;1.644.618.125;1.173.683.625
2017-10-09;13:00:00;1.663.735.375;1.186.694.375
2017-10-09;13:05:00;1681463.75;1.198.123.625
2017-10-09;13:10:00;1.691.547.875;1214435.5
2017-10-09;13:15:00;1.675.995.125;1205936.25
2017-10-09;13:20:00;1672897.5;1195170.75
2017-10-09;13:25:00;1628512.5;1169136
2017-10-09;13:30:00;1.492.103.125;1084056.25
2017-10-09;13:35:00;1673255.25;1.206.507.625
2017-10-09;13:40:00;1.787.916.625;1.267.295.875
2017-10-09;13:45:00;1.776.738.875;1.257.638.625
2017-10-09;13:50:00;1.699.777.375;1213904
2017-10-09;13:55:00;1.770.666.625;1.252.376.375
2017-10-09;14:00:00;1761410;1.248.417.375
2017-10-09;14:05:00;1.756.271.625;1.237.655.125
2017-10-09;14:10:00;1.785.257.875;1332380.5
2017-10-09;14:15:00;1695010.5;1267627.25
2017-10-09;14:20:00;1796771.5;1.349.690.375
2017-10-09;14:25:00;1816887;1.361.059.625
2017-10-09;14:30:00;1.679.799.375;1.275.866.125
2017-10-09;14:35:00;1.617.495.375;1264760
2017-10-09;14:40:00;1607468.5;1268837.25
2017-10-09;14:45:00;1587527.75;1247034
2017-10-09;14:50:00;1.522.435.875;1171939
2017-10-09;14:55:00;1543398.75;1.191.050.125
2017-10-09;15:00:00;1580529.5;1.223.490.875
2017-10-09;15:05:00;1538379.5;1184143.25
2017-10-09;15:10:00;1.479.267.125;1.128.871.125
2017-10-09;15:15:00;1.578.013.625;1.249.010.375
2017-10-09;15:20:00;1.711.877.125;1.396.991.625
2017-10-09;15:25:00;1.488.892.375;1152011
2017-10-09;15:30:00;1587477;1.269.351.875
2017-10-09;15:35:00;1.633.899.625;1311330
2017-10-09;15:40:00;1612152.5;1.287.999.625
2017-10-09;15:45:00;1534318.5;1202789
2017-10-09;15:50:00;1.506.047.125;1173837
2017-10-09;15:55:00;1536358;1.215.035.625
2017-10-09;16:00:00;1566194.5;1.238.349.875
2017-10-09;16:05:00;1.728.400.625;1.403.319.625
2017-10-09;16:10:00;1.627.044.125;1.297.195.125
2017-10-09;16:15:00;1555388.5;1221684.5
2017-10-09;16:20:00;1514305.25;1.169.216.875
2017-10-09;16:25:00;1.505.129.375;1.165.472.625
2017-10-09;16:30:00;1.457.420.875;1.116.619.625
2017-10-09;16:35:00;1490994.75;1.142.803.875
2017-10-09;16:40:00;1.454.023.125;1.113.565.125
2017-10-09;16:45:00;1466698.5;1130937.25
2017-10-09;16:50:00;1461078.5;1.124.932.375
2017-10-09;16:55:00;1.477.197.875;1140643.75
2017-10-09;17:00:00;1.481.809.625;1.147.954.625
2017-10-09;17:05:00;1515429.25;1181472
2017-10-09;17:10:00;1488271.25;1.154.897.625
2017-10-09;17:15:00;1495233.25;1161514
2017-10-09;17:20:00;1596069.75;1261763.25
2017-10-09;17:25:00;1562783.25;1.230.815.875
2017-10-09;17:30:00;1508587.25;1170522.75
2017-10-09;17:35:00;1.522.610.375;1.187.214.125
2017-10-09;17:40:00;1516446.25;1176261.75
2017-10-09;17:45:00;1.517.961.625;1181120.5
2017-10-09;17:50:00;1.517.580.375;1182612
2017-10-09;17:55:00;1523251.25;1.184.376.875
2017-10-09;18:00:00;1508902.5;1172402
2017-10-09;18:05:00;1482795;1.147.083.875
2017-10-09;18:10:00;1465522.75;1126825.5
2017-10-09;18:15:00;1599597;1.218.429.125
2017-10-09;18:20:00;1695006.75;1299083.25
2017-10-09;18:25:00;1697225;1288091.25
2017-10-09;18:30:00;1.810.651.375;1404664.25
2017-10-09;18:35:00;1728486.25;1311507.5
2017-10-09;18:40:00;1787452.5;1380940
2017-10-09;18:45:00;1906952;1501726.75
2017-10-09;18:50:00;1890531.5;1.488.589.125
2017-10-09;18:55:00;1834083;1.430.552.125
2017-10-09;19:00:00;1.717.957.125;1314961.25
2017-10-09;19:05:00;1.689.113.125;1.292.596.875
2017-10-09;19:10:00;1604905.25;1250853.5
2017-10-09;19:15:00;1575412.75;1.234.797.625
2017-10-09;19:20:00;1864678.5;1478615
2017-10-09;19:25:00;2.038.982.625;1.527.949.875
2017-10-09;19:30:00;2.040.620.375;1.540.520.375
2017-10-09;19:35:00;2034379;1.537.618.625
2017-10-09;19:40:00;1.920.426.125;1.416.119.375
2017-10-09;19:45:00;1.943.083.875;1445352
2017-10-09;19:50:00;1950565.75;1.448.810.625
2017-10-09;19:55:00;1.960.135.625;1.451.992.875
2017-10-09;20:00:00;1.903.309.625;1404493.5
2017-10-09;20:05:00;2029788.75;1.532.291.125
2017-10-09;20:10:00;1.909.361.125;1461621.25
2017-10-09;20:15:00;1.871.431.125;1374610.75
2017-10-09;20:20:00;1860969;1359970.5
2017-10-09;20:25:00;1.897.453.625;1407706.75
2017-10-09;20:30:00;1621167;1.221.005.875
2017-10-09;20:35:00;1.668.796.125;1.267.019.625
2017-10-09;20:40:00;1788468.75;1.403.923.125
2017-10-09;20:45:00;1735685;1.340.199.875
2017-10-09;20:50:00;1699461.25;1313211.25
2017-10-09;20:55:00;1.559.887.625;1181115.75
2017-10-09;21:00:00;1.583.175.625;1.193.488.125
2017-10-09;21:05:00;1.534.492.375;1.162.770.125
2017-10-09;21:10:00;1.607.078.875;1.221.590.125
2017-10-09;21:15:00;1.636.046.875;1232850
2017-10-09;21:20:00;1639305.25;1235564.75
2017-10-09;21:25:00;1653323.25;1.268.852.375
2017-10-09;21:30:00;1.641.321.125;1260678
2017-10-09;21:35:00;1.606.563.625;1225816.75
2017-10-09;21:40:00;1608014.25;1.220.286.375
2017-10-09;21:45:00;1499919.5;1.131.516.875
2017-10-09;21:50:00;1579861.25;1.202.326.125
2017-10-09;21:55:00;1546346;1183491.25
2017-10-09;22:00:00;1.611.991.125;1.217.767.375
2017-10-09;22:05:00;1614755.25;1.213.976.875
2017-10-09;22:10:00;1662327;1256925.75
2017-10-09;22:15:00;1.710.908.625;1.299.022.375
2017-10-09;22:20:00;1738609.5;1.330.375.125
2017-10-09;22:25:00;1756091.5;1350826.75
2017-10-09;22:30:00;1806242.75;1407030.5
2017-10-09;22:35:00;1.791.868.125;1.397.168.125
2017-10-09;22:40:00;1845737.5;1467387.5
2017-10-09;22:45:00;1793558;1.405.800.125
2017-10-09;22:50:00;1802457.5;1415450
2017-10-09;22:55:00;1723166.75;1.337.025.625
2017-10-09;23:00:00;1693305.25;1.307.771.125
2017-10-09;23:05:00;1720812;1338288.75
2017-10-09;23:10:00;1.707.341.625;1316511.75
2017-10-09;23:15:00;1.713.066.625;1327385.75
2017-10-09;23:20:00;1.726.718.375;1.345.516.875
2017-10-09;23:25:00;1678121.25;1286741.25
2017-10-09;23:30:00;1675772.25;1.280.841.125
2017-10-09;23:35:00;1751570.75;1331787.75
2017-10-09;23:40:00;1959127.25;1455589.5
2017-10-09;23:45:00;1.942.832.875;1449775.5
2017-10-09;23:50:00;1.936.351.125;1438300.5
2017-10-09;23:55:00;1.949.360.125;1453558
2017-10-10;00:00:00;1973699.75;1.487.025.125
2017-10-10;00:05:00;1971740.5;1491909.25
2017-10-10;00:10:00;1.983.819.625;1506996.5
2017-10-10;00:15:00;1943651;1455255.75
2017-10-10;00:20:00;1.941.019.125;1.450.188.125
2017-10-10;00:25:00;1.947.570.375;1.451.890.875
2017-10-10;00:30:00;1.915.931.875;1422307
2017-10-10;00:35:00;1914407.25;1.410.580.875
2017-10-10;00:40:00;1928000;1.429.352.875
2017-10-10;00:45:00;1.919.587.875;1418902.25
2017-10-10;00:50:00;1.940.801.875;1.430.133.625
2017-10-10;00:55:00;1.920.624.625;1416850
2017-10-10;01:00:00;1948923.25;1460459.25
2017-10-10;01:05:00;1.942.085.125;1446259.25
2017-10-10;01:10:00;1.918.190.625;1419151.5
2017-10-10;01:15:00;1910964.25;1.404.932.375
2017-10-10;01:20:00;1867520;1.369.598.875
2017-10-10;01:25:00;1939100;1.445.247.375
2017-10-10;01:30:00;1.943.561.125;1.445.590.125
2017-10-10;01:35:00;1930782.25;1426914.25
2017-10-10;01:40:00;1851341.75;1368358.75
2017-10-10;01:45:00;1.362.344.125;1.019.899.625
2017-10-10;01:50:00;1.399.182.875;1059483.75
2017-10-10;01:55:00;1.486.632.375;1183601.75
2017-10-10;02:00:00;1.494.206.125;1.188.764.625
2017-10-10;02:05:00;1473172;1.189.845.375
2017-10-10;02:10:00;1.465.611.125;1.185.854.625
2017-10-10;02:15:00;1.436.606.125;1.133.859.375
2017-10-10;02:20:00;1440591;1121943.75
2017-10-10;02:25:00;1435955.5;1113134.25
2017-10-10;02:30:00;1495268.5;1.204.908.625
2017-10-10;02:35:00;1625660.5;1.310.631.875
2017-10-10;02:40:00;1.813.071.625;1.444.404.625
2017-10-10;02:45:00;1931828.5;1521910
2017-10-10;02:50:00;1973757.25;1.550.374.625
2017-10-10;02:55:00;1839824;1407600
2017-10-10;03:00:00;1872401.75;1.451.050.375
2017-10-10;03:05:00;1855358.5;1.418.072.375
2017-10-10;03:10:00;1803222;1.375.467.125
2017-10-10;03:15:00;1.803.459.875;1367018
2017-10-10;03:20:00;1.806.797.125;1.364.082.625
2017-10-10;03:25:00;1.742.002.125;1292887.75
2017-10-10;03:30:00;1743332;1.294.061.625
2017-10-10;03:35:00;1854929.25;1.409.003.875
2017-10-10;03:40:00;1.833.097.625;1384125.5
2017-10-10;03:45:00;1.866.402.125;1424799
2017-10-10;03:50:00;1.862.870.125;1425836.5
2017-10-10;03:55:00;1.874.600.125;1.428.048.875
2017-10-10;04:00:00;1.819.372.125;1375429.5
2017-10-10;04:05:00;1.818.484.625;1376899.75
2017-10-10;04:10:00;1.784.717.375;1.337.448.375
2017-10-10;04:15:00;1769284;1317464.75
2017-10-10;04:20:00;1.761.542.375;1311412
2017-10-10;04:25:00;1738639;1285850
2017-10-10;04:30:00;1.750.239.875;1.304.324.875
2017-10-10;04:35:00;1.776.892.875;1.335.534.625
2017-10-10;04:40:00;1775812.75;1.327.283.125
2017-10-10;04:45:00;1773680.5;1.325.293.625
2017-10-10;04:50:00;1.770.466.875;1321238.5
2017-10-10;04:55:00;1737343.75;1.301.457.375
2017-10-10;05:00:00;1775585.5;1.334.052.125
2017-10-10;05:05:00;1.789.567.875;1372133.25
2017-10-10;05:10:00;1772473.5;1.337.298.625
2017-10-10;05:15:00;1784817.75;1.352.591.375
2017-10-10;05:20:00;1705059.75;1303061
2017-10-10;05:25:00;1481996.25;1.146.575.625
2017-10-10;05:30:00;1727046.75;1.297.566.375
2017-10-10;05:35:00;1.950.129.375;1.447.979.625
2017-10-10;05:40:00;1927449;1.432.792.875
2017-10-10;05:45:00;1.927.258.625;1.412.977.375
2017-10-10;05:50:00;1821764.75;1.341.222.875
2017-10-10;05:55:00;1651100;1.237.816.375
2017-10-10;06:00:00;1638940.5;1.229.820.625
2017-10-10;06:05:00;1744445;1340430
2017-10-10;06:10:00;1721443.5;1.313.154.875
2017-10-10;06:15:00;1720557;1.312.026.375
2017-10-10;06:20:00;1.709.442.375;1.293.795.875
2017-10-10;06:25:00;1.689.189.125;1276585
2017-10-10;06:30:00;1655405.5;1.241.065.375
2017-10-10;06:35:00;1742681.25;1.297.925.375
2017-10-10;06:40:00;1899705.25;1389084
2017-10-10;06:45:00;1933851.5;1.425.306.125
2017-10-10;06:50:00;1.920.004.625;1.420.358.375
2017-10-10;06:55:00;1746438.75;1.315.174.875
2017-10-10;07:00:00;1.643.830.625;1246088.75
2017-10-10;07:05:00;1615950.25;1.214.278.125
2017-10-10;07:10:00;1621582.75;1239723.25
2017-10-10;07:15:00;1563407;1.172.235.125
2017-10-10;07:20:00;1836364.25;1.355.546.625
2017-10-10;07:25:00;1.889.700.875;1400006.75
2017-10-10;07:30:00;1980908;1.497.555.375
2017-10-10;07:35:00;1945476;1.502.157.625
2017-10-10;07:40:00;1748903.25;1.408.049.875
2017-10-10;07:45:00;1.733.126.375;1.352.506.125
2017-10-10;07:50:00;1.621.879.125;1.234.674.125
2017-10-10;07:55:00;1.512.781.125;1.121.072.375
2017-10-10;08:00:00;1673077.25;1.234.680.125
2017-10-10;08:05:00;1668210;1.224.335.625
2017-10-10;08:10:00;1716064.25;1267594
2017-10-10;08:15:00;1665383.5;1.224.249.875
2017-10-10;08:20:00;1.526.759.375;1.125.602.875
2017-10-10;08:25:00;1571675.5;1.166.739.625
2017-10-10;08:30:00;1.612.886.625;2.077.234.625
2017-10-10;08:35:00;1.531.574.875;1.140.248.375
2017-10-10;08:40:00;1.490.200.875;1115130.75
2017-10-10;08:45:00;1.623.008.125;1210254.5
2017-10-10;08:50:00;1.548.007.625;1141986.5
2017-10-10;08:55:00;1.542.175.125;1.130.733.625
2017-10-10;09:00:00;1.558.668.875;1.135.399.875
2017-10-10;09:05:00;1.631.570.625;1.249.009.875
2017-10-10;09:10:00;1601355.5;1.189.030.875
2017-10-10;09:15:00;1.583.659.875;1159950
2017-10-10;09:20:00;1546840;1133980.5
2017-10-10;09:25:00;1.296.045.375;9.620.340.625
2017-10-10;09:30:00;1.359.113.875;1.029.842.125
2017-10-10;09:35:00;1.231.218.375;951.872.875
2017-10-10;09:40:00;1164875.75;9.006.236.875
2017-10-10;09:45:00;1.215.705.625;9.800.305.625
2017-10-10;09:50:00;1416324;1294464.75
2017-10-10;09:55:00;2251589.25;2359956.5
2017-10-10;10:00:00;2268787.25;2120287.25
2017-10-10;10:05:00;2299097;2118596.75
2017-10-10;10:10:00;2.055.171.125;1.852.511.625
2017-10-10;10:15:00;1.993.638.875;1785683
2017-10-10;10:20:00;2010929.75;1797326.75
2017-10-10;10:25:00;1.907.364.125;1673671
2017-10-10;10:30:00;1.831.714.875;1.608.343.625
2017-10-10;10:35:00;1627727.5;1435971.25
2017-10-10;10:40:00;1.431.213.375;1268911.5
2017-10-10;10:45:00;1365557.5;1123785.75
2017-10-10;10:50:00;1.528.016.125;1255642
2017-10-10;10:55:00;1495977;1.190.003.375
2017-10-10;11:00:00;1.475.265.625;1160651.5
2017-10-10;11:05:00;1621203;1.322.193.125
2017-10-10;11:10:00;1548665;1.223.795.125
2017-10-10;11:15:00;1558118.5;1.228.530.125
2017-10-10;11:20:00;1.621.058.625;1.325.514.875
2017-10-10;11:25:00;1533848.25;1216702.5
2017-10-10;11:30:00;1.549.131.625;1.246.846.375
2017-10-10;11:35:00;1.752.684.875;2463147.75
2017-10-10;11:40:00;1752222.5;2973745.25
2017-10-10;11:45:00;1807108;4501526
2017-10-10;11:50:00;1793301.75;3730299.75
2017-10-10;11:55:00;1.718.993.375;2.021.479.875
2017-10-10;12:00:00;1674199;1.381.863.875
2017-10-10;12:05:00;1.654.567.625;1.341.581.875
2017-10-10;12:10:00;2114915.5;1905753.5
2017-10-10;12:15:00;2.010.698.625;1.725.244.375
2017-10-10;12:20:00;2134166.75;1847736
2017-10-10;12:25:00;2145233.5;2103642.5
2017-10-10;12:30:00;2118265.75;1872984.75
2017-10-10;12:35:00;2114562.5;2640891.25
2017-10-10;12:40:00;1897832;1624138.75
2017-10-10;12:45:00;1925849.25;1665866.75
2017-10-10;12:50:00;1904212.25;1.653.623.875
2017-10-10;12:55:00;1.973.448.625;1.756.023.375
2017-10-10;13:00:00;1.858.033.875;1.613.277.625
2017-10-10;13:05:00;1.829.585.625;1.581.039.625
2017-10-10;13:10:00;1838887.5;1.591.894.625
2017-10-10;13:15:00;1.822.982.875;1592768.25
2017-10-10;13:20:00;1997421;1.786.450.875
2017-10-10;13:25:00;1.874.037.375;1.663.945.625
